#{"t_start": 1780600309.3689928, "env_id": "None"}
r,l,t,n_delivered,n_invalid,n_empty_grab,n_physics_attempts,sum_grasp_quality,sum_disturb_m,sum_disturb_raw_m,max_disturb_m,n_ejected,n_predicate_succ,n_objects_initial
57.501114,60,163512.560665,9,0,2,58,11.0,0.4394407032017825,1.2330837698023118,0.04019119654873121,0,9,20
76.764534,60,163544.022045,15,0,4,56,18.8,0.5177382197664014,1.0917371271643717,0.053020021766665655,0,15,20
81.21239,60,163559.906188,16,0,1,59,21.000000000000004,0.5838256934415513,1.2813068760810713,0.0751742890030886,0,16,20
75.62478,60,163579.262665,14,0,1,59,20.600000000000005,0.607615791622535,1.3490866997032036,0.059399998842142955,0,14,20
58.930904,60,163594.807981,9,0,0,60,15.800000000000004,0.9245413901185485,1.8680071245071586,0.06978063375471588,0,9,20
81.72678,60,163597.448647,17,0,4,56,20.200000000000003,0.7466241063449874,1.3956142933808202,0.07665289055690098,1,17,20
61.621834,60,163597.448745,10,0,0,60,18.000000000000007,0.9090812102455793,1.732909322998102,0.10824374962675111,1,10,20
68.166016,60,163600.112459,12,0,0,60,16.6,0.9669877339519645,1.7944616770198925,0.057215265953626845,0,12,20
80.41872,60,163603.278225,16,0,1,59,16.8,0.6606576372373774,1.3682246668267624,0.06838983324263526,0,16,20
71.77782,60,163606.225387,13,0,2,58,26.200000000000003,1.08108936520387,2.307140467110151,0.10387402288819989,1,13,20
66.287674,60,163606.22549,12,0,2,58,13.600000000000001,0.9161672470548775,1.545791088269432,0.08445506284665863,0,12,20
84.67081,60,163606.225515,17,0,0,60,21.6,0.7346096483541142,1.3324054019500413,0.09652764135347963,0,17,20
70.5617,60,163625.975891,13,0,2,58,15.6,0.619151945842145,1.322831300379384,0.06459244557433984,0,13,20
79.52862,60,163646.320259,15,0,0,60,20.000000000000004,0.33570674241966697,0.8581389574217547,0.03338512701820859,0,15,20
60.734436,60,163675.236647,10,0,3,57,15.6,0.7427767244932392,1.4885302676412127,0.09577042780856736,0,10,20
